"Rank","Player","TACKLE","ASSIST","SACK","PD","INT","FF","FR","DEF TD","G","FPTS","FPTS/G","ROST"
"1","Jalen Pitre (HOU)","99","48","1","8","5","0","0","0","17","238.5","14.0","73.2%"
"2","L'Jarius Sneed (KC)","75","33","3.5","11","3","3","1","0","17","211.5","12.4","69.2%"
"3","Rayshawn Jenkins (JAC)","71","41","1","12","3","3","0","1","17","200.3","11.8","55.3%"
"4","Jalen Ramsey (MIA)","64","24","2","18","4","3","1","0","17","195.4","11.5","61.1%"
"5","Derwin James Jr. (LAC)","64","51","4","6","2","2","0","0","14","190.1","13.6","75.5%"
"6","Talanoa Hufanga (SF)","65","30","2","9","4","2","0","1","17","188.6","11.1","50.0%"
"7","Donovan Wilson (DAL)","75","23","5","2","1","2","1","0","17","187.7","11.0","27.9%"
"8","Julian Love (SEA)","74","41","1","5","2","0","1","0","16","182.7","11.4","28.0%"
"9","Richie Grant (ATL)","69","53","0","7","2","1","1","0","17","179.8","10.6","42.7%"
"10","Jaquan Brisker (CHI)","73","31","4","2","1","1","1","0","15","177.6","11.8","36.0%"
"11","Grant Delpit (CLE)","68","33","0","10","4","0","0","0","17","172.2","10.1","23.9%"
"12","Minkah Fitzpatrick (PIT)","56","40","0","11","6","0","0","1","15","169.3","11.3","67.4%"
"13","Jonathan Owens (GB)","85","40","1","4","0","0","0","0","17","167.9","9.9","16.7%"
"14","Budda Baker (ARI)","75","36","0","7","2","1","0","0","15","166.9","11.1","63.1%"
"15","Desmond King II (HOU)","59","29","0","8","2","0","2","0","17","165.5","9.7","14.4%"
"16","Jalen Thompson (ARI)","78","31","0","8","1","0","1","0","17","164.2","9.7","23.8%"
"17","John Johnson III (FA)","70","26","0.5","4","1","2","2","0","17","164.0","9.6","3.2%"
"18","Rodney McLeod Jr. (CLE)","56","36","0","8","2","0","1","1","16","163.5","10.2","3.0%"
"19","Tyrann Mathieu (NO)","64","27","1","8","3","1","1","0","17","163.0","9.6","22.6%"
"20","Rasul Douglas (GB)","63","13","1","13","4","1","0","0","17","162.0","9.5","13.7%"
"21","Jevon Holland (MIA)","76","17","1.5","7","2","1","0","0","17","160.1","9.4","25.1%"
"22","Kevin Byard (TEN)","68","38","0","6","4","0","0","0","17","159.9","9.4","32.9%"
"23","Harrison Smith (MIN)","66","18","0","10","5","1","0","0","14","159.3","11.4","30.7%"
"24","Adrian Amos (NYJ)","70","26","1","5","1","0","0","0","17","158.8","9.3","6.7%"
"25","Vonn Bell (CAR)","54","25","1","7","4","2","1","0","17","156.6","9.2","16.6%"
"26","Taron Johnson (BUF)","68","22","0","9","1","0","1","0","17","156.3","9.2","29.6%"
"27","Kyle Dugger (NE)","46","23","1","8","3","1","1","3","15","156.2","10.4","35.7%"
"28","DeShon Elliott (MIA)","72","23","0","3","1","1","1","0","14","155.4","11.1","21.1%"
"29","Antoine Winfield Jr. (TB)","64","16","4","3","1","1","0","0","13","155.3","11.9","36.8%"
"30","C.J. Gardner-Johnson (DET)","61","6","1","8","6","0","0","0","13","154.8","11.9","25.6%"
"31","Tyson Campbell (JAC)","55","15","0","15","3","1","2","1","17","154.5","9.1","9.4%"
"32","Riq Woolen (SEA)","46","17","0","16","6","0","2","1","17","152.9","9.0","26.4%"
"33","Darrick Forrest (WAS)","54","30","0","9","4","2","1","0","17","152.0","8.9","9.7%"
"34","Marlon Humphrey (BAL)","53","18","3","7","3","1","2","0","16","150.2","9.4","21.0%"
"35","Jayron Kearse (DAL)","55","22","2","5","1","1","2","0","14","149.3","10.7","12.3%"
"36","Jonathan Jones (NE)","55","13","0","11","4","3","0","1","16","147.2","9.2","8.8%"
"37","Mike Jackson Sr. (SEA)","62","12","0","12","1","0","2","0","17","146.9","8.6","6.4%"
"38","Charvarius Ward (SF)","59","28","0","11","1","1","1","0","17","146.9","8.6","31.0%"
"39","Patrick Peterson (PIT)","56","10","0","15","5","0","0","0","17","146.8","8.6","12.2%"
"40","Justin Simmons (DEN)","42","27","0","7","6","3","1","0","12","145.1","12.1","33.2%"
"41","Eddie Jackson (CHI)","59","21","0","6","4","2","0","0","12","144.2","12.0","34.7%"
"42","Duron Harmon (FA)","63","23","0","5","2","2","0","1","17","143.6","8.4","4.9%"
"43","Marcus Epps (LV)","68","24","0","6","0","1","0","0","17","143.4","8.4","7.3%"
"44","Jordan Whitehead (NYJ)","58","31","0","8","2","0","0","0","17","142.8","8.4","9.8%"
"45","Taylor Rapp (BUF)","58","34","0","6","2","0","1","0","16","141.0","8.8","5.0%"
"46","Damar Hamlin (BUF)","61","28","1.5","2","0","1","0","0","16","140.9","8.8","4.9%"
"47","Sauce Gardner (NYJ)","51","24","0","20","2","0","0","0","17","140.8","8.3","54.2%"
"48","Kerby Joseph (DET)","53","21","0","8","4","2","1","0","17","139.5","8.2","7.0%"
"49","Kader Kohou (MIA)","63","9","0","10","1","1","0","0","15","137.9","9.2","4.1%"
"50","Roger McCreary (TEN)","70","14","0","8","1","0","0","0","17","137.8","8.1","11.6%"
"51","D.J. Reed Jr. (NYJ)","63","17","0","12","1","1","0","0","17","137.1","8.1","11.8%"
"52","Chuck Clark (NYJ)","61","40","0","4","0","1","1","0","17","135.7","8.0","6.5%"
"53","Mike Edwards (KC)","52","30","1","3","2","0","0","1","13","132.8","10.2","4.8%"
"54","Coby Bryant (SEA)","52","18","2","4","0","4","0","0","17","132.0","7.8","3.4%"
"55","Kyler Gordon (CHI)","55","16","0","6","3","1","1","0","14","131.8","9.4","9.2%"
"56","Denzel Ward (CLE)","42","11","0","15","3","0","2","2","14","131.5","9.4","13.5%"
"57","Nick Scott (CIN)","54","29","0","5","2","2","0","0","16","131.3","8.2","4.5%"
"58","Jaire Alexander (GB)","43","13","0","14","5","0","0","0","16","130.6","8.2","21.3%"
"59","Deommodore Lenoir (SF)","54","23","1","5","1","0","0","0","17","130.2","7.7","5.5%"
"60","Devin McCourty (FA)","54","17","0","8","4","0","1","0","17","130.1","7.7","4.4%"
"61","Kareem Jackson (DEN)","55","39","0","3","0","0","2","0","17","129.8","7.6","4.6%"
"62","Andre Cisco (JAC)","46","24","1","10","3","0","0","1","15","129.8","8.7","7.0%"
"63","Jeff Okudah (ATL)","59","14","0","7","1","1","0","1","15","129.8","8.7","14.4%"
"64","Jordan Poyer (BUF)","45","20","0","8","4","1","0","0","13","128.8","9.9","29.7%"
"65","Juan Thornhill (CLE)","43","28","1","9","3","0","0","0","16","128.4","8.0","3.4%"
"66","Quandre Diggs (SEA)","50","21","0","7","4","1","0","0","17","128.0","7.5","6.7%"
"67","Kamren Curl (WAS)","58","26","1","0","0","0","0","0","12","125.7","10.5","27.3%"
"68","Carlton Davis III (TB)","52","11","0","12","1","1","1","0","13","125.1","9.6","19.0%"
"69","Justin Reid (KC)","59","22","1","7","0","0","0","0","17","124.8","7.3","30.8%"
"70","Camryn Bynum (MIN)","49","31","0","6","2","0","2","0","17","124.3","7.3","3.2%"
"71","Jaylinn Hawkins (ATL)","43","38","0","6","2","1","0","1","16","122.5","7.7","26.4%"
"72","Nate Hobbs (LV)","57","15","1","4","0","1","1","0","11","122.5","11.1","27.2%"
"73","Ryan Neal (TB)","45","21","1","8","1","2","0","0","12","122.5","10.2","12.2%"
"74","Jessie Bates III (ATL)","39","33","0","8","4","1","0","0","17","122.3","7.2","14.4%"
"75","Marco Wilson (ARI)","44","14","0","10","3","1","0","1","14","122.0","8.7","7.1%"
"76","Trevon Diggs (DAL)","50","9","0","14","3","0","1","0","17","121.8","7.2","31.6%"
"77","Xavier Woods (CAR)","53","33","0","6","0","0","2","0","15","121.5","8.1","4.1%"
"78","Marcus Williams (BAL)","44","17","0","8","4","0","1","0","10","120.0","12.0","16.6%"
"79","Tashaun Gipson Sr. (SF)","43","18","0.5","8","5","0","0","0","17","119.8","7.0","2.4%"
"80","Michael Davis (LAC)","47","14","1","15","1","0","0","0","16","117.8","7.4","2.0%"
"81","Bobby McCain (NYG)","53","23","0","5","0","1","0","0","17","116.2","6.8","1.7%"
"82","Stephon Gilmore (DAL)","53","13","0","11","2","0","0","0","16","116.2","7.3","8.2%"
"83","Kendall Fuller (WAS)","36","16","0","13","3","0","0","2","16","115.5","7.2","5.1%"
"84","Dane Jackson (BUF)","49","9","0","12","2","1","0","0","16","115.1","7.2","1.8%"
"85","Martin Emerson Jr. (CLE)","51","12","1","15","0","0","0","0","17","114.8","6.8","4.3%"
"86","Michael Carter II (NYJ)","49","13","0","9","2","0","0","0","17","114.5","6.7","1.0%"
"87","Malik Hooker (DAL)","44","18","0","3","3","0","1","1","16","114.3","7.1","2.2%"
"88","James Bradberry (PHI)","39","5","0","17","3","0","0","1","17","114.0","6.7","7.5%"
